id,category,type,difficulty,quiz_mode,question,option_a,option_b,option_c,option_d,correct_answer,explanation,learn_more_path,personas
pki-014,pki-infrastructure,multiple-choice,beginner,both,Which FIPS standard defines the ML-DSA (Module-Lattice-Based Digital Signature Algorithm) used in PQC certificates?,FIPS 186,FIPS 197,FIPS 204,FIPS 205,c,"FIPS 204 defines ML-DSA (formerly known as CRYSTALS-Dilithium during the NIST PQC competition). It specifies three parameter sets: ML-DSA-44 (Security Level 2), ML-DSA-65 (Security Level 3), and ML-DSA-87 (Security Level 5). FIPS 205 defines SLH-DSA, FIPS 186 covers classical DSA/ECDSA, and FIPS 197 defines AES.",/learn/pki,researcher|developer
pki-015,pki-infrastructure,multi-select,intermediate,both,Which of the following are valid methods for checking the revocation status of an X.509 certificate? (Select all that apply),Certificate Revocation Lists (CRL),Online Certificate Status Protocol (OCSP),OCSP Stapling,DNS TXT record lookup,a|b|c,"CRLs (RFC 5280 Section 5) are periodically published lists of revoked certificate serial numbers. OCSP (RFC 6960) provides real-time single-certificate status queries. OCSP Stapling allows the server to include a signed OCSP response in the TLS handshake, reducing latency and privacy concerns. DNS TXT records are not a standard certificate revocation mechanism.",/learn/pki,researcher|developer
pki-016,pki-infrastructure,multiple-choice,advanced,full,In the PKI hierarchical trust model what prevents an Intermediate CA from signing certificates outside its authorized scope?,The Root CA's CRL Distribution Point extension,The pathLenConstraint in the Basic Constraints extension combined with Name Constraints,The Intermediate CA's Subject Alternative Name,The Key Usage extension alone,b,"The pathLenConstraint field in Basic Constraints limits how many additional CAs can appear below an Intermediate CA in the chain. Name Constraints (RFC 5280 Section 4.2.1.10) restrict which DNS names or directory names an Intermediate CA may certify. Together, these extensions enforce scope boundaries within the PKI hierarchy.",/learn/pki,researcher|developer
pki-017,pki-infrastructure,multiple-choice,advanced,full,"According to NIST IR 8547 transition guidance, by what year should classical cryptographic algorithms be entirely disallowed?",2028,2030,2035,2040,c,"NIST IR 8547 recommends that classical public-key algorithms (RSA, ECDSA, ECDH, DSA) be deprecated by 2030 and entirely disallowed by 2035. This creates urgency for PKI operators to begin PQC migration planning now, especially for Root CAs and long-lived certificate hierarchies.",/learn/pki,researcher|developer
pki-018,pki-infrastructure,multiple-choice,advanced,full,In a cross-algorithm PKI chain where the Root CA uses ML-DSA-87 and the end-entity certificate uses an RSA-2048 key what algorithm is used in the end-entity certificate's signature?,RSA-2048 (matches the end-entity's key),ML-DSA-87 (matches the issuing CA's key),A hybrid of both algorithms,SHA-256 only,b,"The signature on a certificate is always created by the issuing CA's private key. In a cross-algorithm chain, the Root CA's ML-DSA-87 key signs the end-entity certificate, so the signature algorithm in the end-entity certificate is ML-DSA-87 — regardless of the end-entity's own RSA-2048 public key. The Subject Public Key Info field reflects the end-entity's key type.",/learn/pki,researcher|developer
pki-019,pki-infrastructure,multi-select,advanced,full,Which of the following are significant challenges for PQC migration in PKI systems? (Select all that apply),Larger certificate and signature sizes impacting constrained devices,HSM firmware upgrades requiring FIPS 140-3 certified PQC support,Certificate chain interoperability during the transition period,Reduced hash function security under Grover's Algorithm,a|b|c,"PQC migration challenges for PKI include: significantly larger keys and signatures (ML-DSA-87 public keys are ~2,592 bytes vs 294 for ECDSA P-256), HSM vendors needing to deliver FIPS 140-3 certified firmware with PQC algorithm support, and maintaining interoperability during the transition when some systems support PQC and others don't. Grover's Algorithm's impact on hash functions is manageable and not a primary PKI migration challenge.",/learn/pki,researcher|developer
pki-020,pki-infrastructure,true-false,advanced,full,"True or False: SLH-DSA (FIPS 205) public keys are remarkably small at approximately 32 bytes, but its signatures are much larger than ML-DSA — around 7,856 bytes for SLH-DSA-SHA2-128s.",True,False,,,true,"True. SLH-DSA has very compact public keys (~32 bytes), which is actually smaller than classical ECDSA P-256 public keys (~64 bytes uncompressed). However, this comes at the cost of much larger signatures — SLH-DSA-SHA2-128s produces ~7,856 byte signatures, roughly 2.4x larger than ML-DSA-65's ~3,309 bytes. Signing is also approximately 500x slower than ML-DSA.",/learn/pki,researcher|developer
fivg-001,5g-security,multiple-choice,beginner,both,What does SUCI stand for in 5G security?,Subscriber Universal Communication Identifier,Subscription Concealed Identifier,Secure User Cipher Integration,System Unified Crypto Interface,b,"SUCI (Subscription Concealed Identifier) is the privacy-protected form of a subscriber's permanent identity (SUPI). It encrypts the MSIN portion of the SUPI on the USIM before transmission over the air, preventing IMSI-catching attacks that plagued earlier mobile generations.",/learn/5g-security,researcher
fivg-002,5g-security,multiple-choice,beginner,both,What is the relationship between SUPI and SUCI in 5G networks?,SUPI is the encrypted form of SUCI,SUCI is the concealed (encrypted) form of SUPI,They are different names for the same identifier,SUPI is used in 4G and SUCI replaced it entirely in 5G,b,"SUPI (Subscription Permanent Identifier) is the subscriber's permanent cleartext identity (e.g., IMSI). SUCI is the privacy-protected form where the MSIN portion is encrypted using the Home Network's public key. Only the Home Network's SIDF can decrypt SUCI back to SUPI.",/learn/5g-security,researcher
fivg-003,5g-security,multiple-choice,beginner,both,What cryptographic algorithm does SUCI Protection Profile A use for key agreement?,RSA-2048,secp256r1 (P-256) ECDH,X25519 (Curve25519) ECDH,ML-KEM-768,c,"Profile A uses X25519 (Curve25519) for Elliptic Curve Diffie-Hellman key agreement. It produces 32-byte public keys and is the most commonly deployed profile in current 5G networks. Profile B uses P-256, and Profile C uses ML-KEM-768 for post-quantum resistance.",/learn/5g-security,researcher
fivg-004,5g-security,multiple-choice,intermediate,both,"What are the public key sizes for SUCI Protection Profiles A, B, and C respectively?","32 bytes, 65 bytes, 1184 bytes","64 bytes, 128 bytes, 256 bytes","32 bytes, 32 bytes, 768 bytes","256 bytes, 384 bytes, 2048 bytes",a,"Profile A (X25519) uses 32-byte public keys, Profile B (P-256) uses 65-byte uncompressed public keys (0x04 || x || y), and Profile C (ML-KEM-768) uses 1,184-byte public keys. This dramatic size increase from classical to post-quantum is a key challenge for 5G PQC migration.",/learn/5g-security,researcher
fivg-005,5g-security,multiple-choice,intermediate,both,What Key Derivation Function is used to derive encryption and MAC keys from the shared secret in SUCI concealment (Profiles A and B)?,HKDF with SHA-384,PBKDF2 with HMAC-SHA-512,ANSI X9.63 KDF with SHA-256,Argon2id with 128-bit salt,c,SUCI concealment (Profiles A and B) uses the ANSI X9.63 KDF with SHA-256 to derive the encryption key (K_enc) and MAC key (K_mac) from the ECDH shared secret. It runs two iterations using the ephemeral public key as SharedInfo. Profile C upgrades to SHA3-256 for the KDF.,/learn/5g-security,researcher
fivg-006,5g-security,multiple-choice,intermediate,both,What encryption algorithm and mode is used to encrypt the MSIN in SUCI Protection Profiles A and B?,AES-256-GCM,AES-128-CTR,ChaCha20-Poly1305,AES-128-CBC,b,"Profiles A and B use AES-128-CTR (Counter mode) to encrypt the MSIN portion of the SUPI. Profile C upgrades to AES-256-CTR with a 256-bit encryption key derived via SHA3-256, providing stronger post-quantum symmetric security.",/learn/5g-security,researcher
fivg-007,5g-security,multiple-choice,intermediate,both,What is the role of the SIDF (Subscription Identifier De-concealing Function) in 5G?,It generates subscriber authentication challenges,It encrypts the SUPI into SUCI at the UE,It decrypts SUCI back to SUPI at the Home Network using the HN private key,It manages the sequence numbers for replay protection,c,"The SIDF resides within the Home Network (typically inside an HSM at the UDM) and holds the Home Network's private key. When a SUCI arrives, the SIDF performs de-concealment: decapsulating or decrypting the ciphertext to recover the MSIN and reconstruct the original SUPI.",/learn/5g-security,researcher
fivg-008,5g-security,multiple-choice,intermediate,both,"In the MILENAGE algorithm, what does function f2 produce?",MAC-A (Message Authentication Code for network authentication),XRES (Expected Response for subscriber verification),CK (Cipher Key for encryption),AK (Anonymity Key for concealing the sequence number),b,"MILENAGE function f2 produces XRES (Expected Response), a 64-bit value the network uses to verify the subscriber. The five functions are: f1 produces MAC-A (network auth), f2 produces XRES (subscriber response), f3 produces CK (cipher key), f4 produces IK (integrity key), and f5 produces AK (anonymity key).",/learn/5g-security,researcher
