id,category,type,difficulty,quiz_mode,question,option_a,option_b,option_c,option_d,correct_answer,explanation,learn_more_path,personas,industries
algo-029,algorithm-families,multiple-choice,intermediate,both,What is the primary implementation challenge that makes FN-DSA (FALCON) harder to deploy safely than ML-DSA?,FN-DSA requires a larger key size than ML-DSA for equivalent security,FN-DSA's Gaussian sampling during signing requires high-precision floating-point arithmetic that is vulnerable to timing side-channel attacks,FN-DSA is not standardized by NIST and lacks FIPS validation,FN-DSA signatures are not compatible with X.509 certificates,b,"FN-DSA signing requires sampling from a discrete Gaussian distribution over NTRU lattices, which traditionally uses floating-point arithmetic. This creates timing side-channel vulnerabilities: if signing time leaks information about the secret key, attackers can reconstruct keys. Safe implementations require constant-time integer arithmetic (avoiding floating-point entirely) or hardware-assisted sampling. ML-DSA avoids this issue by using rejection sampling from a simpler uniform distribution. This is why ML-DSA is preferred for general-purpose signing despite FN-DSA's smaller signatures.",/algorithms,developer|architect,
algo-030,algorithm-families,multiple-choice,advanced,full,"For a constrained IoT firmware signing use case where bandwidth is critical, what is the tradeoff between selecting FN-DSA-512 vs ML-DSA-44?",FN-DSA-512 is always the correct choice — smaller signatures always win in IoT,ML-DSA-44 is always correct — its simpler signing algorithm outweighs FN-DSA's compactness,FN-DSA-512 offers ~3.6× smaller signatures but requires careful constant-time implementation; ML-DSA-44 is easier to implement safely but produces larger firmware manifests,Both have identical signature sizes; the only difference is key generation speed,c,"FN-DSA-512 signatures are ~666 bytes vs ML-DSA-44's 2,420 bytes — a 3.6× reduction that meaningfully affects OTA update bandwidth on narrowband IoT links. However, FN-DSA requires careful constant-time Gaussian sampling to prevent timing side channels; a naive implementation is dangerous. ML-DSA-44 uses simpler rejection sampling, making it easier to implement correctly with standard toolchains. For high-volume firmware updates or NB-IoT deployments, FN-DSA's compactness can justify the extra implementation care. For general enterprise PKI, ML-DSA is preferred.",/algorithms,architect|developer,Energy & Utilities|Healthcare
comp-021,compliance,multiple-choice,beginner,both,"Which organization runs the Korean Post-Quantum Cryptography (KpqC) competition, and approximately when are the finalized Korean national PQC standards expected?",Korean ETRI; standards expected in 2025,Korean IITP / KISA; standards expected 2029 with a 2035 migration deadline,Samsung Research; standards expected 2028,Korean NIS; standards to align exactly with NIST FIPS 203/204/205,b,"The KpqC competition is run by the Korean Institute of Information Security and Cryptology (KISA) under IITP. South Korea is developing independent national PQC standards — selecting HAETAE (lattice-based signatures), AIMer (MPC-in-the-head signatures), SMAUG-T (lattice-based KEM), and NTRU+ (NTRU-based KEM). Final Korean national standards are targeted for 2029, with a national migration deadline of 2035. This parallel track gives South Korea domestic cryptographic sovereignty separate from US FIPS standards.",/compliance,executive|architect,Government & Defense
comp-022,compliance,multiple-choice,intermediate,both,Which algorithm won the KpqC signature category and what is its mathematical basis?,SMAUG-T; based on NTRU lattices,HAETAE; based on module lattices (similar to ML-DSA but with distinct design choices),AIMer; based on MPC-in-the-head and symmetric primitives,NTRU+; based on NTRU problem variants,b,"HAETAE is the KpqC signature winner, based on module lattice problems — the same mathematical family as NIST's ML-DSA, but with distinct parameter choices and security analysis. AIMer (MPC-in-the-head, hash-based) is the runner-up signature candidate. For KEMs, SMAUG-T (module lattices) and NTRU+ (NTRU lattices) were selected. The KpqC portfolio deliberately includes diverse mathematical foundations to hedge against potential algorithmic breakthroughs.",/compliance,researcher|architect,Government & Defense
comp-023,compliance,multiple-choice,beginner,both,What is the primary stated reason South Korea and China are developing national PQC standards independent of NIST's FIPS 203/204/205?,NIST standards have known mathematical weaknesses that only Asian researchers discovered,Domestic cryptographic sovereignty — ensuring national algorithms are not dependent on foreign standards for critical infrastructure,NIST standards are not performance-optimized for Asian hardware architectures,Both countries plan to replace NIST standards globally by 2030,b,"Both South Korea (KpqC) and China (NGCC/ICCS) frame their national PQC programs primarily around cryptographic sovereignty: ensuring that algorithms protecting national critical infrastructure are designed, analyzed, and standardized domestically, without reliance on US government processes. This mirrors longstanding patterns (China's SM2/SM3/SM4 replacing RSA/SHA/AES for domestic use; South Korea's ARIA/SEED). These national standards typically coexist with FIPS standards in international contexts but are mandated for government systems.",/compliance,executive|architect,Government & Defense
comp-024,compliance,multiple-choice,intermediate,both,"What is China's NGCC program (Next-Generation Commercial Cryptography), and which body oversees its PQC standardization?",A NIST-aligned adoption program run by China's MIIT; standards mirror FIPS 203/204/205,An independent national PQC standardization program run by OSCCA/ICCS; selecting domestic algorithms with a goal of 2030 national migration,A joint research initiative between China and the EU for hybrid PQC standards,A military-only cryptography program with no commercial implications,b,"China's Next-Generation Commercial Cryptography (NGCC) program is run by the Office of the State Commercial Cryptography Administration (OSCCA) in coordination with ICCS (Institute of Commercial Cryptography Standardization). The program issued a call for PQC algorithm proposals in 2024, targeting algorithms distinct from US NIST selections. China's existing commercial cryptography ecosystem (SM2/SM3/SM4) provides a template: separate domestic standards for government and regulated industries, with international standards permitted in some contexts. The NGCC targets national migration by approximately 2030.",/compliance,executive|researcher,Government & Defense
comp-025,compliance,multiple-choice,beginner,both,By what date must Canadian federal government departments submit their initial PQC migration plans under CCCS guidance ITSM.40.001?,January 2025,April 2026,December 2027,October 2030,b,"The Canadian Centre for Cyber Security (CCCS) published ITSM.40.001 (PQC Migration Roadmap) in June 2025, requiring federal departments to submit initial PQC migration plans by April 2026. The roadmap mandates that high-priority systems complete PQC migration by 2030 and all federal systems by 2033. This aligns with the broader Five Eyes coordination on PQC timelines, though Canada's April 2026 planning deadline is one of the most near-term compliance milestones globally.",/compliance,executive|architect,Government & Defense
comp-026,compliance,true-false,intermediate,both,"True or False: Canada's TBS Security Policy Implementation Notice (SPIN) on PQC became effective in October 2025, making PQC migration planning mandatory for federal institutions.",True,False,,,true,"True. The Treasury Board of Canada Secretariat (TBS) issued a Security Policy Implementation Notice (SPIN) on PQC that became effective October 9, 2025. This SPIN makes PQC migration planning a formal security policy requirement for all federal institutions — not merely guidance. Combined with ITSM.40.001's April 2026 planning deadline, Canadian federal agencies face both policy mandates and concrete milestones for PQC transition.",/compliance,executive|architect,Government & Defense
comp-027,compliance,multiple-choice,beginner,both,Australia's ASD Information Security Manual (ISM) December 2024 update sets requirements for critical systems. Which PQC algorithms are mandated for new systems by 2030?,ML-KEM-512 and ML-DSA-44 (NIST Level 1),ML-KEM-1024 and ML-DSA-87 (NIST Level 5),Only SLH-DSA-SHA2-256s for signatures; ML-KEM-768 for key exchange,FrodoKEM-1344 and FN-DSA-1024 for maximum security,b,"Australia's ASD ISM December 2024 update mandates that new systems protecting sensitive information must use ML-KEM-1024 (key encapsulation) and ML-DSA-87 (digital signatures) — both at NIST Security Level 5 — by 2030. This is among the most conservative algorithm selections globally, requiring the highest security tier rather than Level 3. Existing systems have until 2030 for critical infrastructure and 2033 for all government systems, consistent with Five Eyes coordination.",/compliance,architect|executive,Government & Defense
comp-028,compliance,multiple-choice,intermediate,both,"Which Australian government body published the December 2024 ISM update mandating PQC requirements, and what is its relationship to the Five Eyes alliance?",ASIO (Australian Security Intelligence Organisation); independent from Five Eyes,"ASD (Australian Signals Directorate); coordinates PQC guidance with NSA, GCHQ, NCSC-CA, and GCSB through Five Eyes",ACSC (Australian Cyber Security Centre); operates independently of intelligence agencies,AUSTRAC (financial intelligence); focused solely on financial sector PQC,b,"The Australian Signals Directorate (ASD), through its Australian Cyber Security Centre (ACSC) arm, published the ISM update. ASD is Australia's national signals intelligence and cybersecurity agency and is a full member of the Five Eyes intelligence alliance (US NSA, UK GCHQ, Canadian CCCS/CSE, New Zealand GCSB, Australian ASD). Five Eyes members coordinate on PQC timelines and algorithm selections, which is why Australia's ML-KEM-1024/ML-DSA-87 mandate, Canada's ITSM.40.001, and US CNSA 2.0 are closely aligned in scope and timeline.",/compliance,executive|researcher,Government & Defense
